planet_id,name,system,system_id,description,atmosphere,temp,mass,moons,distance,image
1,"Helios","Veridia System",1,"Helios is a rocky, barren world scorched by the intense radiation of its nearby star.","none",200,0.8,0,70,"1_planet_helios.png"
2,"Aurelia","Veridia System",1,"Aurelia is a desert planet characterized by vast sandy dunes and rocky plateaus.","Carbon dioxide",45,0.9,1,80,"2_planet_aurelia.png"
3,"Veridia Prime","Veridia System",1,"Veridia Prime is a lush, vibrant world teeming with diverse ecosystems and abundant life.","Nitrogen-oxygen",25,1.2,2,150,"3_planet_viridiaPrime.png"
4,"Vulcan","Veridia System",1,"Vulcan is a volcanic world, with its surface marred by towering volcanoes, lava flows, and geysers of molten rock.","Sulfur dioxide",400,1.4,0,180,"4_planet_vulcan.png"
5,"Aurora","Veridia System",1,"Aurora is a rocky planet with a striking appearance, featuring vast canyons, towering mountains, and glowing auroras that dance across its sky.","Oxygen-nitrogen",-10,1.1,2,200,"5_planet_aurora.png"
6,"Cerulea","Veridia System",1,"Cerulea is a water-dominated world, with its surface mostly covered by vast, deep oceans.","Oxygen-rich with water vapor",10,1.3,4,250,"6_planet_cerulea.png"
7,"Eclipta","Veridia System",1,"Eclipta is an icy world, perpetually shrouded in a thick layer of frost and snow.","Methane",-50,1.5,3,300,"7_planet_eclipta.png"
8,"Aether","Veridia System",1,"Aether is a mysterious planet shrouded in swirling mists and dense clouds.","Unknown",-20,1,1,400,"8_planet_aether.png"
9,"effluvius","Veridia System",1,"Effluvius is a gas giant with swirling bands of colorful clouds and a turbulent atmosphere.","Hydrogen-helium",-150,20,12,600,"9_planet_effluvius.png"
10,"tortillus-bitz","Tocus Chime",2,"Tortillus-bitz is a barren planet, roasted by the very nearby star.","none",600,0.5,0,40,"10_planet_tortillus-bitz.png"
11,"tocus volcanius","Tocus Chime",2,"Tocus Volcanius is a volcanic planet covered in rivers of flowing lava.","sulphur",350,0.7,5,90,"11_planet_tocus volcanius.png"
12,"chalupax","Tocus Chime",2,"Chalupax is a verdant jungle world teaming with life.","Nitrogen-oxygen",20,1.1,2,155,"12_planet_chalupax.png"
13,"tozethadax","Tocus Chime",2,"Tozathadax is a mysterious world home to many bizarre creatures.","Hydrogen-Oxygen",10,0.9,1,185,"13_planet_tozethadax.png"
14,"beanbur-E2","Tocus Chime",2,"Beanbur-E2 is a gaseous planet covered in nutrition.","protein-fiber",-30,1.5,0,515,"14_planet_beanbur-E2.png"
15,"nachox","Tocus Chime",2,"Nachox is a melty world, sticky with cheese.","Hydrogen-cheese",-40,0.6,0,675,"15_planet_nachox.png"
16,"yoqueerio","Tocus Chime",2,"Yoqueerio is a planet made entirely of delicious ice cream!","Ice Cream",-100,2,0,900,"16_planet_yoqueerio.png"
17,"Pyron","Neafjaij System",3,"Pyron is a fiery world with active volcanoes","Sulfur-Methane",820.5,0.5,0,89.4,"17_planet_pyron.png"
18,"Zephyr","Neafjaij System",3,"Zaphyr is a windswept planet with floating islands","Helium-Hydrogen",-210.3,0.3,1,95.2,"18_planet_zephyr.png" 
19,"Obscura","Neafjaij System",3,"Obscura is shrouded in perpetual darkness","Carbon Dioxide-Nitrogen",-85.7,1.6,0,120.9,"19_planet_obscura.png"
20,"Aquaria","Neafjaij System",3,"Aquaria is an ocean planet with vast underwater cities","Hydrogen-Oxygen",18.7,0.9,5,160.1,"20_planet_auquaria.png"
21,"Zirax","Neafjaij System",3,"Zirax is a ringed world with vibrant colors","Nitrogen-Kryptonite",-55.2,4,3,235.8,"21_planet_zirax.png"
22,"Terra Nova","Neafjaij System",3,"Terra Nova is a newly colonized Earth-like planet","Nitrogen-Oxygen",22.3,1.1,2,305.6,"22_planet_terraNova.png"
23,"Astra","Neafjaij System",3,"Astra is a shimmering crystal world","Neon-Argon",-120.0,2.3,12,450.2,"23_planet_astra.png"
24,"Chronos","Neafjaij System",3,"Chronos is a planet with distorted time flow","Chronon particles",100.8,5.2,8,860.7,"24_planet_chronos.png" 
